BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
-1	root
11.9.2	lipid metabolism.lipid degradation.lipases
11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase
11.9.2.2	lipid metabolism.lipid degradation.lipases.acylglycerol lipase
11.9.3	lipid metabolism.lipid degradation.lysophospholipases
11.9.3.1	lipid metabolism.lipid degradation.lysophospholipases.phospholipase D
11.9.3.2	lipid metabolism.lipid degradation.lysophospholipases.carboxylesterase
11.9.3.3	lipid metabolism.lipid degradation.lysophospholipases.glycerophosphodiester phosphodiesterase
11.9.3.4	lipid metabolism.lipid degradation.lysophospholipases.phospholipase A2
11.9.3.5	lipid metabolism.lipid degradation.lysophospholipases.phosphoinositide phospholipase C
11.9.4	lipid metabolism.lipid degradation.beta-oxidation
11.9.4.13	lipid metabolism.lipid degradation.beta-oxidation.acyl CoA reductase
11.9.4.14	lipid metabolism.lipid degradation.beta-oxidation.enoyl isomerase
11.9.4.2	lipid metabolism.lipid degradation.beta-oxidation.acyl CoA DH
11.9.4.3	lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase
11.9.4.4	lipid metabolism.lipid degradation.beta-oxidation.hydroxybutyryl CoA DH
11.9.4.5	lipid metabolism.lipid degradation.beta-oxidation.acyl-CoA thioesterase
11.9.4.9	lipid metabolism.lipid degradation.beta-oxidation.multifunctional
11.9.4.99	lipid metabolism.lipid degradation.beta-oxidation.misc
12	N-metabolism
12.1	N-metabolism.nitrate metabolism
12.1.1	N-metabolism.nitrate metabolism.NR
12.1.2	N-metabolism.nitrate metabolism.nitrite reductase
12.2	N-metabolism.ammonia metabolism
12.2.1	N-metabolism.ammonia metabolism.glutamate synthase
12.2.1.1	N-metabolism.ammonia metabolism.glutamate synthase.ferredoxin dependent
12.2.1.2	N-metabolism.ammonia metabolism.glutamate synthase.NADH dependent
12.2.1001	N-metabolism.ammonia metabolism
12.2.1002	N-metabolism.ammonia metabolism
12.2.1003	N-metabolism.ammonia metabolism
12.2.2	N-metabolism.ammonia metabolism.glutamine synthetase
12.2.99	N-metabolism.ammonia metabolism.unspecified
12.3	N-metabolism.N-degradation
12.3.1	N-metabolism.N-degradation.glutamate dehydrogenase
12.4	N-metabolism.misc
13	amino acid metabolism
13.1	amino acid metabolism.synthesis
13.1.1	amino acid metabolism.synthesis.central amino acid metabolism
13.1.1.1	amino acid metabolism.synthesis.central amino acid metabolism.GABA
13.1.1.1.1	amino acid metabolism.synthesis.central amino acid metabolism.GABA.Glutamate decarboxylase
13.1.1.1.2	amino acid metabolism.synthesis.central amino acid metabolism.GABA.GABA transaminase
13.1.1.1.3	amino acid metabolism.synthesis.central amino acid metabolism.GABA.SSADH
13.1.1.1.4	amino acid metabolism.synthesis.central amino acid metabolism.GABA.gamma-hydroxybutyrate DH
13.1.1.2	amino acid metabolism.synthesis.central amino acid metabolism.aspartate
13.1.1.2.1	amino acid metabolism.synthesis.central amino acid metabolism.aspartate.aspartate aminotransferase
13.1.1.2.1001	amino acid metabolism.synthesis.central amino acid metabolism.aspartate
13.1.1.3	amino acid metabolism.synthesis.central amino acid metabolism.alanine
13.1.1.3.1	amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine aminotransferase
13.1.1.3.10001	amino acid synthesis.alanine
13.1.1.3.11	amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine-glyoxylate aminotransferase
13.1.2	amino acid metabolism.synthesis.glutamate family
13.1.2.1	amino acid metabolism.synthesis.glutamate family.glutamine
13.1.2.2	amino acid metabolism.synthesis.glutamate family.proline
13.1.2.2.1	amino acid metabolism.synthesis.glutamate family.proline.delta 1-pyrroline-5-carboxylate synthetase
13.1.2.2.10	amino acid metabolism.synthesis.glutamate family.proline.ornithine aminotransferase
13.1.2.2.1001	amino acid metabolism.synthesis.glutamate family.proline
13.1.2.2.2	amino acid metabolism.synthesis.glutamate family.proline.pyrroline-5-carboxylate reductase
13.1.2.2.3	amino acid metabolism.synthesis.glutamate family.proline.pyrroline-2-carboxylate reductase
13.1.2.2.4	amino acid metabolism.synthesis.glutamate family.proline.ornithin-cyclodeaminase
13.1.2.3	amino acid metabolism.synthesis.glutamate family.arginine
13.1.2.3.1	amino acid metabolism.synthesis.glutamate family.arginine.N-acetyl-L-glutamate 5-phosphotransferase
13.1.2.3.1001	amino acid metabolism.synthesis.glutamate family.arginine
13.1.2.3.1002	amino acid metabolism.synthesis.glutamate family.arginine
13.1.2.3.1003	amino acid metabolism.synthesis.glutamate family.arginine
13.1.2.3.1004	amino acid metabolism.synthesis.glutamate family.arginine
13.1.2.3.11	amino acid metabolism.synthesis.glutamate family.arginine.carbamoyl-phosphate synthase
13.1.2.3.2	amino acid metabolism.synthesis.glutamate family.arginine.acetylglutamate kinase
13.1.2.3.21	amino acid metabolism.synthesis.glutamate family.arginine.ornithine carbamoyltransferase
13.1.2.3.22	amino acid metabolism.synthesis.glutamate family.arginine.arginosuccinate synthase
13.1.2.3.23	amino acid metabolism.synthesis.glutamate family.arginine.argininosuccinate lyase
13.1.2.3.3	amino acid metabolism.synthesis.glutamate family.arginine.N-Acetylglutamate-5-P reductase
13.1.2.3.31	amino acid metabolism.synthesis.glutamate family.arginine.aspartate racemase
13.1.2.3.32	amino acid metabolism.synthesis.glutamate family.arginine.aspartate 4-decarboxylase
13.1.2.3.4	amino acid metabolism.synthesis.glutamate family.arginine.acetylornithine aminotransferase
13.1.2.3.5	amino acid metabolism.synthesis.glutamate family.arginine.N2-Acetylornithine deacetylase
13.1.3	amino acid metabolism.synthesis.aspartate family
13.1.3.1	amino acid metabolism.synthesis.aspartate family.asparagine
13.1.3.1.1	amino acid metabolism.synthesis.aspartate family.asparagine.asparagine synthetase
13.1.3.1.1001	amino acid metabolism.synthesis.aspartate family.asparagine
13.1.3.2	amino acid metabolism.synthesis.aspartate family.threonine
13.1.3.2.1	amino acid metabolism.synthesis.aspartate family.threonine.threonine synthase
13.1.3.2.1001	amino acid metabolism.synthesis.aspartate family.threonine
13.1.3.4	amino acid metabolism.synthesis.aspartate family.methionine
13.1.3.4.1	amino acid metabolism.synthesis.aspartate family.methionine.cystathionine gamma-synthase
13.1.3.4.1001	amino acid metabolism.synthesis.aspartate family.methionine
13.1.3.4.1002	amino acid metabolism.synthesis.aspartate family.methionine
13.1.3.4.1003	amino acid metabolism.synthesis.aspartate family.methionine
13.1.3.4.11	amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase 
13.1.3.4.12	amino acid metabolism.synthesis.aspartate family.methionine.homocysteine S-methyltransferase 
13.1.3.4.13	amino acid metabolism.synthesis.aspartate family.methionine.methionine S-methyltransferase
13.1.3.4.2	amino acid metabolism.synthesis.aspartate family.methionine.cystathionine beta-lyase
13.1.3.4.3	amino acid metabolism.synthesis.aspartate family.methionine.methionine synthase
13.1.3.5	amino acid metabolism.synthesis.aspartate family.lysine
13.1.3.5.1	amino acid metabolism.synthesis.aspartate family.lysine.dihydrodipicolinate synthase 
13.1.3.5.10	amino acid metabolism.synthesis.aspartate family.lysine.diaminopimelate dehydrogenase
13.1.3.5.1001	amino acid metabolism.synthesis.aspartate family.lysine
13.1.3.5.2	amino acid metabolism.synthesis.aspartate family.lysine.dihydrodipicolinate reductase
13.1.3.5.3	amino acid metabolism.synthesis.aspartate family.lysine.LL-diaminopimelic acid aminotransferase
13.1.3.5.4	amino acid metabolism.synthesis.aspartate family.lysine.diaminopimelate epimerase
13.1.3.5.5	amino acid metabolism.synthesis.aspartate family.lysine.diaminopimelate decarboxylase
13.1.3.5.6	amino acid metabolism.synthesis.aspartate family.lysine.2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
13.1.3.5.7	amino acid metabolism.synthesis.aspartate family.lysine.tetrahydrodipicolinate N-acetyltransferase
13.1.3.5.8	amino acid metabolism.synthesis.aspartate family.lysine.N-acyl-l-2-amino-6-oxopimelate aminotransferase
13.1.3.5.9	amino acid metabolism.synthesis.aspartate family.lysine.N-acyl-ll-2,6-diaminopimelate deacylase
13.1.3.6	amino acid metabolism.synthesis.aspartate family.misc
13.1.3.6.1	amino acid metabolism.synthesis.aspartate family.misc.homoserine
13.1.3.6.1.1	amino acid metabolism.synthesis.aspartate family.misc.homoserine.aspartate kinase
13.1.3.6.1.10	amino acid metabolism.synthesis.aspartate family.misc.homoserine.bifunctional aspartate kinase/homoserine dehydrogenase
13.1.3.6.1.1001	amino acid metabolism.synthesis.aspartate family.misc.homoserine
13.1.3.6.1.2	amino acid metabolism.synthesis.aspartate family.misc.homoserine.aspartate semialdehyde dehydrogenase
13.1.3.6.1.3	amino acid metabolism.synthesis.aspartate family.misc.homoserine.homoserine dehydrogenase
13.1.3.6.1.4	amino acid metabolism.synthesis.aspartate family.misc.homoserine.homoserine kinase
13.1.3.6.2	amino acid metabolism.synthesis.aspartate family.misc.homocysteine
13.1.3.6.2.1001	amino acid metabolism.synthesis.aspartate family.misc.homocysteine
13.1.4	amino acid metabolism.synthesis.branched chain group
13.1.4.1	amino acid metabolism.synthesis.branched chain group.common
13.1.4.1.1	amino acid metabolism.synthesis.branched chain group.common.acetolactate synthase
13.1.4.1.2	amino acid metabolism.synthesis.branched chain group.common.ketol-acid reductoisomerase
13.1.4.1.4	amino acid metabolism.synthesis.branched chain group.common.branched-chain amino acid aminotransferase
13.1.4.3	amino acid metabolism.synthesis.branched chain group.valine specific
13.1.4.3.1001	amino acid metabolism.synthesis.branched chain group.valine specific
13.1.4.4	amino acid metabolism.synthesis.branched chain group.leucine specific
13.1.4.4.1	amino acid metabolism.synthesis.branched chain group.leucine specific.2-isopropylmalate synthase
13.1.4.4.1001	amino acid metabolism.synthesis.branched chain group.leucine specific
13.1.4.4.2	amino acid metabolism.synthesis.branched chain group.leucine specific.isopropylmalate isomerase
13.1.4.4.3	amino acid metabolism.synthesis.branched chain group.leucine specific.3-isopropylmalate dehydrogenase
13.1.4.4.4	amino acid metabolism.synthesis.branched chain group.leucine specific.aminotransferase
13.1.4.5	amino acid metabolism.synthesis.branched chain group.isoleucine specific
13.1.4.5.1	amino acid metabolism.synthesis.branched chain group.isoleucine specific.threonine ammonia-lyase
13.1.4.5.1001	amino acid metabolism.synthesis.branched chain group.isoleucine specific
13.1.5	amino acid metabolism.synthesis.serine-glycine-cysteine group
13.1.5.1	amino acid metabolism.synthesis.serine-glycine-cysteine group.serine
13.1.5.1.1	amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoglycerate dehydrogenase
13.1.5.1.1001	amino acid metabolism.synthesis.serine-glycine-cysteine group.serine
13.1.5.1.2	amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoserine aminotransferase
13.1.5.1.3	amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoserine phosphatase
13.1.5.2	amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine
13.1.5.2.1	amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine.glycine hydroxymethyltransferase
13.1.5.2.1001	amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine
13.1.5.2.11	amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine.threonine aldolase 
13.1.5.2.2	amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine.glycine transaminase
13.1.5.2.3	amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine.serine glyoxylate aminotransferase
